"Record ID","Catalogue Number","Taxon Concept GUID","Scientific Name - original","Vernacular name - original","Scientific Name","Taxon Rank","Vernacular name","Kingdom","Phylum","Class","Order","Family","Genus","Species","Subspecies","Data Resource ID","Data Resource Name","Institution ID","Institution","Collection ID","Collection","Licence","Institution Code","Collection Code","Locality","Latitude - original","Longitude - original","Geodetic datum - original","Latitude","Longitude","Coordinate Precision","Coordinate Uncertainty in Metres","Country - parsed","State - parsed","Local Government Areas 2011","IMCRA 4 Regions","IBRA 7 Regions","Minimum elevation in meters","Maximum elevation in meters","Minimum depth in meters","Maximum depth in meters","Individual count","Collector","Year","Month","Day","Event Date - parsed","Verbatim event date","Basis Of Record - original","Basis Of Record","Occurrence status","Sex","Preparations","Outlier for layer","Taxonomic Quality","Location Quality","Record number"
"f9271ad9-78e2-4b4a-987e-e2da043921f9","J53647","urn:lsid:biodiversity.org.au:afd.taxon:87d998a1-39f3-4d88-9282-4fd1bea25ba8","Acanthophis praelongus","Northern Death Adder","Acanthophis praelongus","species","Northern Death Adder","Animalia","Chordata","Reptilia","Squamata","Elapidae","Acanthophis","Acanthophis praelongus","","dr344","Queensland Museum provider for OZCAM","in15","Queensland Museum","co153","Queensland Museum Amphibians and Reptiles","CC-BY","QM","Herpetology","Cooktown","-15.466667","145.25","","-15.466667","145.25","","","Australia","Queensland","Cook (S)","","Cape York Peninsula","","","","","","","1969","03","04","1969-03-04","","Preserved specimen","PreservedSpecimen","present","","Spirit","","true","true",""
"e7406635-f0f1-45c0-8d23-0e66eb3710e9","J77654","urn:lsid:biodiversity.org.au:afd.taxon:3fa6d6d1-09a3-4b03-8041-f20031434743","Acanthophis pyrrhus","Desert Death Adder","Acanthophis pyrrhus","species","Desert Death Adder","Animalia","Chordata","Reptilia","Squamata","Elapidae","Acanthophis","Acanthophis pyrrhus","","dr344","Queensland Museum provider for OZCAM","in15","Queensland Museum","co153","Queensland Museum Amphibians and Reptiles","CC-BY","QM","Herpetology","Alice Springs, nr Ormiston Gorge","-23.616667","132.716667","","-23.616667","132.716667","","1000.0","Australia","Northern Territory","MacDonnell (S)","","MacDonnell Ranges","","","","","","","2002","03","23","2002-03-23","","Preserved specimen","PreservedSpecimen","present","Female","Spirit","","true","true",""
"d3b18335-99e2-4962-b7cf-b84cf0c2ca04","J50586","urn:lsid:biodiversity.org.au:afd.taxon:2a5645ea-e3af-4810-9f6e-c84279cca737","Acanthophis antarcticus","Common Death Adder","Acanthophis antarcticus","species","Common Death Adder","Animalia","Chordata","Reptilia","Squamata","Elapidae","Acanthophis","Acanthophis antarcticus","","dr344","Queensland Museum provider for OZCAM","in15","Queensland Museum","co153","Queensland Museum Amphibians and Reptiles","CC-BY","QM","Herpetology","Mt Spec Rd","-18.983333","146.3","","-18.983333","146.3","","","Australia","Queensland","Townsville (C)","","Wet Tropics","","","","","1","","1977","03","30","1977-03-30","","Preserved specimen","PreservedSpecimen","present","","Spirit","","true","true",""
"cb41a820-a137-4233-a097-d82a2fbd3dd4","R165955","urn:lsid:biodiversity.org.au:afd.taxon:2a5645ea-e3af-4810-9f6e-c84279cca737","","","Acanthophis antarcticus","species","Common Death Adder","Animalia","Chordata","Reptilia","Squamata","Elapidae","Acanthophis","Acanthophis antarcticus","","dr348","Western Australian Museum provider for OZCAM","in34","Western Australian Museum","co122","Western Australian Museum Herpetology Collection","CC-BY","WAM","REPT","","-32.2","116.2","","-32.2","116.2","","200000.0","Australia","Western Australia","Armadale (C)","","Jarrah Forest","","","","","1","BUDREY,B.","2006","03","","","","","PreservedSpecimen","present","","","","true","true",""
"bcfefef3-7b69-4fb4-8156-d317faa6ce8d","R165957","urn:lsid:biodiversity.org.au:afd.taxon:2a5645ea-e3af-4810-9f6e-c84279cca737","","","Acanthophis antarcticus","species","Common Death Adder","Animalia","Chordata","Reptilia","Squamata","Elapidae","Acanthophis","Acanthophis antarcticus","","dr348","Western Australian Museum provider for OZCAM","in34","Western Australian Museum","co122","Western Australian Museum Herpetology Collection","CC-BY","WAM","REPT","","-32.2","116.2","","-32.2","116.2","","200000.0","Australia","Western Australia","Armadale (C)","","Jarrah Forest","","","","","1","BUDREY,B.","2006","03","","","","","PreservedSpecimen","present","","","","true","true",""
"a74fc8ce-99ec-4e12-ab39-fc28a194aa78","R165956","urn:lsid:biodiversity.org.au:afd.taxon:2a5645ea-e3af-4810-9f6e-c84279cca737","","","Acanthophis antarcticus","species","Common Death Adder","Animalia","Chordata","Reptilia","Squamata","Elapidae","Acanthophis","Acanthophis antarcticus","","dr348","Western Australian Museum provider for OZCAM","in34","Western Australian Museum","co122","Western Australian Museum Herpetology Collection","CC-BY","WAM","REPT","","-32.2","116.2","","-32.2","116.2","","200000.0","Australia","Western Australia","Armadale (C)","","Jarrah Forest","","","","","1","BUDREY,B.","2006","03","","","","","PreservedSpecimen","present","","","","true","true",""
"a461df53-43e9-45c7-b9f1-8fbead3f7e01","R24412","urn:lsid:biodiversity.org.au:afd.taxon:2a5645ea-e3af-4810-9f6e-c84279cca737","Acanthophis antarcticus (Shaw & Nodder, 1802)","","Acanthophis antarcticus","species","Common Death Adder","Animalia","Chordata","Reptilia","Squamata","Elapidae","Acanthophis","Acanthophis antarcticus","","dr346","South Australian Museum Australia provider for OZCAM","in22","South Australian Museum","co125","South Australian Museum Herpetology Collection","CC-BY","SAMA","Herpetology","","-34.57","135.30","","-34.57","135.3","","","Australia","South Australia","Lower Eyre Peninsula (DC)","","Eyre Yorke Block","","","","","","NO DATA","1983","03","","1983-03-01","","PreservedSpecimen","PreservedSpecimen","present","","","","true","true",""
"9e729ad2-d914-4898-bfe5-04cc14de0fea","R31209","urn:lsid:biodiversity.org.au:afd.taxon:94201718-efa1-4d00-b1c7-0b0fdee9ba24","Acanthophis hawkei","","Acanthophis hawkei","species","Barkly Tableland Death Adder","Animalia","Chordata","Reptilia","Squamata","Elapidae","Acanthophis","Acanthophis hawkei","","dr343","Northern Territory Museum and Art Gallery provider for OZCAM","in17","Museum and Art Gallery of the Northern Territory","co140","Museum and Art Gallery of the Northern Territory Reptile Collection","CC-BY 3.0 (Au)","MAGNT","Reptile","Alexandria Station","-19.05","136.7","not recorded","-19.05","136.7","","","Australia","Northern Territory","Barkly (S)","","Mitchell Grass Downs","","","","","","","1978","03","28","1978-03-28","","Preserved Specimen","PreservedSpecimen","present","","whole animal (ETOH)","el887","true","true",""
"9bb9bca1-45df-40b4-9f88-5267e985102b","ABTC55487.4","urn:lsid:biodiversity.org.au:afd.taxon:2a5645ea-e3af-4810-9f6e-c84279cca737","Acanthophis antarcticus (Shaw & Nodder, 1802)","","Acanthophis antarcticus","species","Common Death Adder","Animalia","Chordata","Reptilia","Squamata","Elapidae","Acanthophis","Acanthophis antarcticus","","dr346","South Australian Museum Australia provider for OZCAM","in22","South Australian Museum","co166","South Australian Museum Australian Biological Tissue Collection","CC-BY","SAMA","AustralianBiologicalTissueCollection","","-34.57","135.30","","-34.57","135.3","","","Australia","South Australia","Lower Eyre Peninsula (DC)","","Eyre Yorke Block","","","","","","","1983","03","","1983-03-01","","MaterialSample","MaterialSample","present","","","","true","true",""
"8ffbe976-e876-4161-81ab-307cab934ae3","R156324","urn:lsid:biodiversity.org.au:afd.taxon:7fc12454-a906-4593-aa20-b5dc18c8849c","","","Acanthophis wellsei","species","Pilbara Death Adder","Animalia","Chordata","Reptilia","Squamata","Elapidae","Acanthophis","Acanthophis wellsei","","dr348","Western Australian Museum provider for OZCAM","in34","Western Australian Museum","co122","Western Australian Museum Herpetology Collection","CC-BY","WAM","REPT","CHICHESTER RANGE","-22.230278","118.981389","","-22.230278","118.981389","","200000.0","Australia","Western Australia","Ashburton (S)","","Pilbara","","","","","1","LADYMAN,M. ET AL.","2005","03","09","2005-03-09","09/03/2005","PreservedSpecimen","PreservedSpecimen","present","Male","Wet","","true","true",""
