JCR ID,KLS ID,Genus,Species,Other ID,VenomSupplies_ID,Museum ID,VenomSupplies_detail,date_collected_DDMMYYYY,date_data_taken_DDMMYYYY,sex_m_f,svl_mm,mass_g,tail_length_mm,total_length,tail_phenotype,spectro_1,spectro_2,spectro_3,photo_lateral_caudal,photo_ventral_caudal,Comments,age_lifehistory,age_months,feeding_freq
JCR0001,,Acanthopis,antarcticus,,AA250,,"CB-VS, DAM100, Feb-18, Ardrossan, Adder/Poly AA250",,22_07_2020,f,469,172.7,90,559,Transition,Black1,Black2,YellowVentral,y,,Faint grey band for second Black2?,,,
JCR0002,,Acanthopis,antarcticus,,AA250,,"CB-VS, DAM100, Feb-18, Ardrossan, Adder/Poly AA250",,22_07_2020,m,445,152.1,117,562,Striped,Black1,Black2,YellowVentral,y,,,,,
JCR0003,,Acanthopis,antarcticus,,AA250,,"CB-VS, DAM100, Feb-18, Ardrossan, Adder/Poly AA250",,22_07_2020,f,454,178.1,88,542,Striped,Black1,Black2,YellowVentral,y,y,Faint grey band for second Black2?,,,
JCR0004,,Acanthopis,antarcticus,,AA252,,"cb-vs, DAM99, Feb-18, Smoky Bay, Adder/Poly AA252",,22_07_2020,f,474,176,92,566,Striped,Black1,Black2,YellowVentral,y,y,Reddish colouration on ventral scales,,,
JCR0005,,Acanthopis,antarcticus,,AA252,,"cb-vs, DAM99, Feb-18, Smoky Bay, Adder/Poly AA252",,22_07_2020,m,449,181.6,95,544,Striped,Black1,Black2,YellowVentral,y,y,"Yellow ventral was much paler, spectro picked up in greener wavelengths",,,
JCR0006,,Acanthopis,antarcticus,,AA252,,"cb-vs, DAM99, Feb-18, Smoky Bay, Adder/Poly AA252",,22_07_2020,m,458,173,110,568,Striped,Black1,Black2,YellowVentral,y,y,"Yellow ventral was much paler, spectro picked up in greener wavelengths",,,
JCR0007,KLS1030,Acanthopis,antarcticus,9,AA79,,,5/12/2018,22_07_2020,,212,16.3,36,248,Transition,Black1,White2,YellowVentral,y,y,5.838g mass at birth? Fed bi-weekly,,,fortnightly
JCR0008,KLS1065,Acanthopis,antarcticus,3,AA79,,,6/06/2019,22_07_2020,m,260,34.5,55,315,Transition,Black1,White2,YellowVentral,y,y,"Banded but with dark black and very faint dark grey bands, clear yellow ventral stripe, so mix between two phenotypes",,,
JCR0009,KLS1028,Acanthopis,antarcticus,22,AA99,,,5/12/2018,22_07_2020,,275,45,62,337,Transition,Black1,White2,YellowVentral,y,y,6.8228g mass at birth? Fed weekly,,,weekly
JCR0010,,Acanthopis,antarcticus,13,AA79,,,,23_07_2020,,125,3.4,36,161,Banded,Black1,White2,WhiteVentral,y,y,6.284g mass at birth? Died on 7.05.2018,,,
JCR0011,,Acanthopis,antarcticus,19,AA99,,,,23_07_2020,,145,4.2,32,177,Banded,Black1,White2,WhiteVentral,y,y,Died on 8.05.2018,,,
JCR0012,,Acanthopis,antarcticus,8,AA99,,,,23_07_2020,,116,7.9,35,151,Banded,Black1,White2,WhiteVentral,y,y,"Pulled shed skin off tail, ventral only one scale wide",,,
JCR0013,KLS1066,Acanthopis,antarcticus,16,AA99,,,6/06/2019,23_07_2020,f,295,47.2,64,359,Transition,Black1,White2,YellowVentral,y,y,"5.943g mass at birth? Fed weekly? Evidence of light banding, last stage of transition?",,,
JCR0014,KLS1061,Acanthopis,antarcticus,15,AA99,,,28/02/2019,23_07_2020,,312,81.1,82,394,Transition,Black1,White2,YellowVentral,y,y,6.087g mass at birth? ,,,
JCR0015,KLS1067,Acanthopis,antarcticus,16,AA100,,,6/06/2019,23_07_2020,f,426,166.8,80,506,Transition,Black1,White2,YellowVentral,y,y,5.657g mass at birth?,,,
JCR0016,KLS1064,Acanthopis,antarcticus,,AA99,,,6/06/2019,23_07_2020,,414,174.2,98,512,Striped,Black1,Black2,YellowVentral,y,y,6.155g mass at birth? Yellow ventral is pale yellow. Repeat KLS number (KLS1064) with baby cantil (see now JCR0030),,,
JCR0017,,Acanthopis,antarcticus,,,,,,23_07_2020,f,674,524.9,117,791,Striped,Black1,Black2,YellowVentral,y,y,Yellow ventral was paler.  No additional information available about capture (no field tag or batch number),,,
JCR0018,,Acanthopis,antarcticus,,AA100,,"Oct-18, Ardrossan, Adder/Poly",,23_07_2020,f,638,631.4,126,764,Uniform,Black1,Black2,BlackVentral,y,y,Black ventral,,,
JCR0019,,Acanthopis,antarcticus,,AA99,,"Oct-06, Smokey Bay, Death Adder/Poly",,23_07_2020,f,658,832.4,113,771,Uniform,Black1,Black2,BlackVentral,y,y,Black ventral,,,
JCR0020,,Acanthopis,antarcticus,12,AA100,,,,31_07_2020,,147,9.8,36,183,Banded,Black1,White2,WhiteVentral,y,y,5.216g mass at birth? White ventral wasn't bright white,,,
JCR0021,,Acanthopis,antarcticus,9,AA99,,,,31_07_2020,,139,4.2,34,173,Banded,Black1,White2,WhiteVentral,y,y,,,,
JCR0022,,Acanthopis,antarcticus,,,,,,31_07_2020,,386,92.2,88,474,Striped,Black1,Black2,YellowVentral,y,y,"Different colouration but confirmed same species, potentially different population. Has 5 white scales (similar to ""spots"") on tail, separate spectro taken of white spot. ",,,
JCR0023,KLS1063,Acanthopis,antarcticus,8,AA79,,,6/06/2019,31_07_2020,,164,11.5,44,208,Transition,Black1,White2,YellowVentral,y,y,,,,
JCR0025,,Acanthopis,antarcticus,4,AA79,,,,31_07_2020,,262,31.3,53,315,Transition,Black1,White2,YellowVentral,y,y,,,,
JCR0026,KLS1026,Acanthopis,antarcticus,NA,,,,5/12/2018,31_07_2020,,320,74.4,58,378,Transition,White1,Black2,YellowVentral,y,y,Fed weekly. Tail dissected but able to take consistent measurement,,,
JCR0027,,Acanthopis,antarcticus,21,AA79,,,23/04/2018,31_07_2020,,127,4.3,25,152,Banded,Black1,White2,WhiteVentral,y,y,5.635g mass at birth?,,,
JCR0028,,Acanthopis,antarcticus,22,AA79,,,24/04/2018,31_07_2020,,123,4,29,152,Banded,Black1,White2,WhiteVentral,y,y,5.572g mass at birth? ,,,
JCR0029,,Acanthopis,antarcticus,6,AA79,,,30/04/2018,31_07_2020,,129,4.1,30,159,Banded,Black1,White2,WhiteVentral,y,y,6.327g mass at birth? Pulled shed skin off tail before measuring,,,
JCR0031,,Acanthopis,antarcticus,15,AA79,,,,31_07_2020,,127,4.6,27,154,Banded,Black1,White2,WhiteVentral,y,y,"5.913g mass at birth? Pulled shed skin off tail, very small surface area of tail. ",,,
JCR0032,,Acanthopis,antarcticus,14,AA79,,,,31_07_2020,,140,3.1,29,169,Banded,White1,Black2,WhiteVentral,y,y,"6.430g mass at birth? Pulled shed skin off tail, very small surface area of ventral. ",,,
JCR0033,,Acanthopis,antarcticus,18,AA79,,,,31_07_2020,,135,3.7,33,168,Banded,Black1,White2,WhiteVentral,y,y,5.505g mass at birth? Recently shed tail skin,,,
JCR0034,,Acanthopis,antarcticus,15,AA100,,,26/04/2018,31_07_2020,,134,3.4,37,171,Banded,Black1,White2,WhiteVentral,y,y,4.66g mass at birth? ,,,
JCR0035,,Acanthopis,antarcticus,16,AA79,,,30/04/2018,31_07_2020,,141,3.4,29,170,Banded,Black1,White2,WhiteVentral,y,y,6.275g mass at birth? Recently shed tail skin,,,
